,VAR_NAME,MIN_VALUE,MAX_VALUE,COUNT,EVENT,EVENT_RATE,NONEVENT,NON_EVENT_RATE,DIST_EVENT,DIST_NON_EVENT,WOE,IV
0,price_drift_bin,"(-100,-30]","(-100,-30]",6254,4062.0,0.6495043172369683,2192.0,0.35049568276303167,0.3280038759689923,0.2822923374114617,0.15008223382570293,0.02293928217559773
1,price_drift_bin,"(-30,30]","(-30,30]",6791,4256.0,0.626711824473568,2535.0,0.37328817552643206,0.34366925064599485,0.3264649066323245,0.05135725474947599,0.02293928217559773
2,price_drift_bin,"(100,7e+03]","(100,7e+03]",3410,1864.0,0.5466275659824047,1546.0,0.4533724340175953,0.15051679586563307,0.1990985189954926,-0.27972509414855173,0.02293928217559773
3,price_drift_bin,"(30,100]","(30,100]",3675,2194.0,0.5970068027210884,1481.0,0.4029931972789116,0.1771640826873385,0.19072762395363813,-0.07377003367934416,0.02293928217559773
4,price_drift_bin,,,19,8.0,0.42105263157894735,11.0,0.5789473684210527,0.0006459948320413437,0.001416613007083065,-0.7852325913652555,0.02293928217559773
5,sqft_drift_bin,"(-100,-50]","(-100,-50]",392,268.0,0.6836734693877551,124.0,0.3163265306122449,0.021640826873385012,0.01596909207984546,0.3039265546590989,0.08083690254419096
6,sqft_drift_bin,"(-30,0]","(-30,0]",4271,2512.0,0.58815265745727,1759.0,0.41184734254273003,0.20284237726098192,0.2265292981326465,-0.1104450773961898,0.08083690254419096
7,sqft_drift_bin,"(-50,-30]","(-50,-30]",1894,1198.0,0.6325237592397043,696.0,0.36747624076029567,0.09673772609819122,0.08963296844816485,0.07628025809425405,0.08083690254419096
8,sqft_drift_bin,"(0,30]","(0,30]",2753,1579.0,0.5735561205957138,1174.0,0.42644387940428624,0.12750322997416022,0.15119124275595622,-0.17040384637912043,0.08083690254419096
9,sqft_drift_bin,"(30,1e+04]","(30,1e+04]",3764,1933.0,0.5135494155154091,1831.0,0.4864505844845909,0.15608850129198967,0.23580167417900838,-0.4125679257129008,0.08083690254419096
10,sqft_drift_bin,,,7075,4894.0,0.6917314487632509,2181.0,0.3082685512367491,0.395187338501292,0.28087572440437863,0.34144761755426706,0.08083690254419096
11,upb_fc_bin1,"(0,0.5]","(0,0.5]",243,136.0,0.5596707818930041,107.0,0.4403292181069959,0.010981912144702842,0.013779781068898905,-0.2269528089725751,0.022794607473553507
12,upb_fc_bin1,"(0.5,1]","(0.5,1]",8604,4988.0,0.5797303579730358,3616.0,0.4202696420269642,0.4027777777777778,0.46567933032839665,-0.1451122749588609,0.022794607473553507
13,upb_fc_bin1,"(1,2]","(1,2]",7866,5017.0,0.6378082888380371,2849.0,0.36219171116196286,0.40511950904392763,0.36690276883451384,0.0990852297396238,0.022794607473553507
14,upb_fc_bin1,"(2,60]","(2,60]",2497,1689.0,0.6764116940328394,808.0,0.3235883059671606,0.13638565891472867,0.10405666452028332,0.27055099803998367,0.022794607473553507
15,upb_fc_bin1,,,939,554.0,0.5899893503727369,385.0,0.410010649627263,0.04473514211886305,0.049581455247907275,-0.10285750778722125,0.022794607473553507
16,state_drift_bin1,"(-10,-5]","(-10,-5]",507,266.0,0.52465483234714,241.0,0.47534516765285995,0.021479328165374678,0.031036703155183514,-0.36807948495567666,0.06906647992997594
17,state_drift_bin1,"(-1e+03,-50]","(-1e+03,-50]",1881,1098.0,0.583732057416268,783.0,0.41626794258373206,0.08866279069767442,0.10083708950418545,-0.128665934168048,0.06906647992997594
18,state_drift_bin1,"(-20,-10]","(-20,-10]",1009,585.0,0.5797819623389494,424.0,0.42021803766105054,0.047238372093023256,0.054603992273019965,-0.14490046824682218,0.06906647992997594
19,state_drift_bin1,"(-30,-20]","(-30,-20]",1010,597.0,0.5910891089108911,413.0,0.4089108910891089,0.048207364341085274,0.0531873792659369,-0.09830933981515158,0.06906647992997594
20,state_drift_bin1,"(-40,-30]","(-40,-30]",927,567.0,0.6116504854368932,360.0,0.3883495145631068,0.04578488372093023,0.0463618802318094,-0.012523587969124469,0.06906647992997594
21,state_drift_bin1,"(-5,0]","(-5,0]",509,316.0,0.6208251473477406,193.0,0.3791748526522593,0.025516795865633074,0.024855119124275595,0.026273164435305717,0.06906647992997594
22,state_drift_bin1,"(-50,-40]","(-50,-40]",705,414.0,0.5872340425531914,291.0,0.4127659574468085,0.03343023255813953,0.03747585318737927,-0.11423615359289917,0.06906647992997594
23,state_drift_bin1,"(0,5]","(0,5]",496,292.0,0.5887096774193549,204.0,0.4112903225806452,0.023578811369509043,0.02627173213135866,-0.10814505182265549,0.06906647992997594
24,state_drift_bin1,"(10,20]","(10,20]",914,552.0,0.6039387308533917,362.0,0.39606126914660833,0.044573643410852716,0.04661944623309723,-0.04487502579539658,0.06906647992997594
25,state_drift_bin1,"(20,30]","(20,30]",727,406.0,0.5584594222833562,321.0,0.44154057771664373,0.03278423772609819,0.041339343206696716,-0.23186682377500417,0.06906647992997594
26,state_drift_bin1,"(30,40]","(30,40]",635,366.0,0.5763779527559055,269.0,0.42362204724409447,0.029554263565891473,0.034642627173213134,-0.15885690644719375,0.06906647992997594
27,state_drift_bin1,"(40,50]","(40,50]",541,319.0,0.589648798521257,222.0,0.41035120147874304,0.02575904392764858,0.02858982614294913,-0.10426513933415582,0.06906647992997594
28,state_drift_bin1,"(5,10]","(5,10]",497,287.0,0.5774647887323944,210.0,0.4225352112676056,0.023175064599483205,0.02704443013522215,-0.15440417520456842,0.06906647992997594
